Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
1;garmr;chore: Update node requirments in README (#69);2020-02-10T08:55:43Z;https://github.schibsted.io/bergens-tidende/garmr/commit/322b1ca563d2596a80bd1299a2df8f6cdcbe8d22
2;garmr;Revert "chore: Update node requirments in README (#69)" (#71);2020-02-10T09:45:26Z;https://github.schibsted.io/bergens-tidende/garmr/commit/7c9fcf106ed1248b4d5413a93dd272915f67590d
3;comments-moderation-dashboard;Introduce requireDir for loading auth lists;2020-02-12T14:37:56Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/5d1c50897ee2db1e60aab02d23c638ef8e08f72a
4;comments-front;Move server configuration to json file;2020-02-12T15:01:00Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/6706f4acfbef18492a2bd33f5fe01779313859a8
5;comments-moderation-dashboard;Merge pull request #315 from bergens-tidende/load-auth-list-as-dir;2020-02-12T15:46:05Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/b8de043a8004d609ccef7798dab3c8ea1295f74d
6;comments-front;Merge pull request #440 from bergens-tidende/src-server-config-json;2020-02-12T15:52:14Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/ee738594406697ff02c32baf3f33624d32f95aeb
7;moderation-service;feat: add Adresseavisen publication (#138);2020-02-13T15:08:09Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/b909af2b8eba768b982132bda26bb61d5306a8f7
8;comment-rules-service;feat: add Adresseavisen publication (#62);2020-02-13T15:09:00Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/05b84d0683efd253d1469907e244187d07726e53
9;comments-api;feat: add Adresseavisen publication (#368);2020-02-13T15:09:19Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/867168c2bc774949c1aacbeaf5b2f36060e5454d
10;garmr;feat: add Adresseavisen publication (#73);2020-02-13T15:10:16Z;https://github.schibsted.io/bergens-tidende/garmr/commit/57d7882614de3ca1567558cf56ed60802b4626eb
11;comments-moderation-dashboard;feat: add Adresseavisen publication (#316);2020-02-13T15:10:44Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/ab048ad57a24a1a8222671e79fd7734ede99e1f4
12;comments-front;feat: add Adresseavisen publication;2020-02-13T15:11:18Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/b84f21a5eed101af5bc342334651cc00275d81e0
13;comments-bifrost;feat: add Adresseavisen publication (#219);2020-02-17T12:36:24Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f18ca4cfcf6ce045be2ef3f36daf7474097ca99e
14;garmr;fix: change banDuration id in migration (#75);2020-02-18T15:44:37Z;https://github.schibsted.io/bergens-tidende/garmr/commit/e671b54fd7ae0b800fca8a7f4faae457a72f64c6
15;comments-bifrost;chore: adjustments for mimir (#220);2020-02-25T10:13:58Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/f45f947d38d32374f9018724fb9affbd21961785
16;comments-bifrost;chore: bump node version 8.2.1 -> 8.4.0 (#222);2020-02-25T14:11:25Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/dec864ea54093bc99f4ab46a62cb1d98bb076495
17;comments-bifrost; chore: change node version 8.2.1 -> 8.4.0 on prod (#223);2020-02-25T14:29:56Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/6ef8dacd1fb0bd92fdd6a14767c84a6b9d7378e0
18;comments-shared;improvement($test): Run tests as pre-commit hook (#77);2020-02-26T11:38:43Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/6c84bda7cc51b5122ee69a40e299987fb6d4167d
